asin,product_name,seller_name,brand,sales_price,discount_percentage,weight_grams,rating,delivery_type,meta_keywords,amazon_prime__y_or_n,rank,z-score
B07652FT69,Cazcase Deer Pattern Smart Case Cover Flip Stand Cover for Apple iPad pro 10.5 inch (A1701 / A1709) / ipad Air 3 10.5 inch 2019 (Brown),E Shop Solution,CAZCASE,8.39,46,308.0,3.8,fulfilled_by_amazon,"Cazcase Deer Pattern Smart Case Cover Flip Stand Cover for Apple iPad pro 10.5 inch (A1701 / A1709) / ipad Air 3 10.5 inch 2019 (Brown),Eshop Solution",Y,35464,-0.08347438251898846
B079VL519L,Heartly Kickstand Hard Dual Rugged Armor Hybrid Bumper Back Case Cover for Lenovo A6600 / Lenovo A6600 Plus - Best Black,Ruh International,Heartly,3.59,77,49.9,4.6,fulfilled_by_amazon,"Heartly Kickstand Hard Dual Rugged Armor Hybrid Bumper Back Case Cover for Lenovo A6600 / Lenovo A6600 Plus - Best Black,Heartly,For Lenovo A6600 / Lenovo A6600 Plus_TS",Y,698934,-0.3871842864678043
B00JYKGFWY,"iPhone 6 Case, LUVVITT® ULTRA ARMOR iPhone 6 Case / Best iPhone 6 Case for 4.7 inch Screen Air | Double Layer Shock Absorbing iPhone 6 Case Cover (Does NOT fit iPhone 5 5S 5C 4 4s or iPhone 6 Plus 5.5 inch screen) - Black / Turquoise Teal Mint Green",HelloYehlo,Luvvitt,47.45,34,68.0,4.6,fulfilled_by_merchant,"iPhone 6 Case, LUVVITT® ULTRA ARMOR iPhone 6 Case / Best iPhone 6 Case for 4.7 inch Screen Air | Double Layer Shock Absorbing iPhone 6 Case Cover (Does NOT fit iPhone 5 5S 5C 4 4s or iPhone 6 Plus 5.5 inch screen) - Black / Turquoise Teal Mint Green,Luvvitt,LUVAPPIP6ULTGRE",N,3181968,2.3879649608645
B00LPC3O3M,"Verbatim Bravo Wired Notebook Optical Mouse, Black (98106)",G. G.,Verbatim,15.5,52,90.7,4.2,fulfilled_by_merchant,"Verbatim Bravo Wired Notebook Optical Mouse, Black (98106),VERBATIM CORPORATION,98106",N,156041,0.36639591270519484
B07BV5K9TV,Aarfa Slimfit Durable Printed Hard Case for Xiaomi Redmi 4 (4X),arretail,Aarfa,3.58,70,49.9,3.9,fulfilled_by_merchant,"Aarfa Slimfit Durable Printed Hard Case for Xiaomi Redmi 4 (4X),AR RETAIL",Y,373349,-0.3878170154343643
B01MRR9S4T,"Saco Transparent Laptop Touchpad Protector for All Laptops (Clear, 158x98 mm)",saco,Saco,3.0,60,200.0,3.7,fulfilled_by_merchant,"Saco Transparent Laptop Touchpad Protector for All Laptops (Clear, 158x98 mm),saco,TPX-458",Y,12013,-0.4245152954948462
B07J35QTD7,TheGiftKart Ultra Slim 360* Matte Velvet Feel Hard Back Case Cover with Camera Protection Bump for Oppo F9 / F9 Pro (Blue),TheGiftKart,TheGiftKart,1.79,79,18.1,4.3,fulfilled_by_amazon,"TheGiftKart Ultra Slim 360* Matte Velvet Feel Hard Back Case Cover with Camera Protection Bump for Oppo F9 / F9 Pro (Blue),TheGiftKart,Oppo F9 / F9 Pro",Y,6094,-0.5010755004486102
B07R7PJ7D7,"KAPAVER® Stark iPhone XR Back Cover Case, Rubberized PC TPU Protective Case for Apple iPhone Xr (Frost Transparent Blue)",DataPower,KAPAVER,9.59,43,49.9,4.0,fulfilled_by_amazon,"KAPAVER® Stark iPhone XR Back Cover Case, Rubberized PC TPU Protective Case for Apple iPhone Xr (Frost Transparent Blue),Kapaver",Y,222211,-0.007546906531784568
B07NC11LJN,FOSO F36 PU Leather Magnetic Flip Cover Wallet Back Cover for Honor View 20 (Brown),DataPower,Foso,3.59,70,90.7,4.6,fulfilled_by_amazon,"FOSO F36 PU Leather Magnetic Flip Cover Wallet Back Cover for Honor View 20 (Brown),FOSO,F36",Y,160178,-0.3871842864678043
B07NWQZFSY,"Wurzel Flip Cover for Moto E3 Power, Luxury Look Wallet Stand Flip Cover Case for Motorola Moto E3 Power (Black)",PerfectBuyShop,Wurzel,3.59,70,99.8,3.8,fulfilled_by_amazon,"Wurzel Flip Cover for Moto E3 Power, Luxury Look Wallet Stand Flip Cover Case for Motorola Moto E3 Power (Black),Wurzel,Moto E3 Power",Y,21271,-0.3871842864678043
B0757VSM16,Urban Armor Gear UAG Plasma Rugged Protection Case / Cover Designed for iPhone Xs / iPhone X (Military Drop Tested) - Ash,Tekki-Take,Urban Armor Gear,32.39,16,13.6,4.3,fulfilled_by_amazon,"Urban Armor Gear UAG Plasma Rugged Protection Case / Cover Designed for iPhone Xs / iPhone X (Military Drop Tested) - Ash,URBAN ARMOR GEAR,IPHX-L-AS",Y,183948,1.4350751372250905
B07N686NZL,Londonux Twilight Printed Hard Cases Designer Mobile Back Cover for Xiaomi Redmi 4-4X,Vidit Enterprises Delhi,Londonux,3.59,70,99.8,4.6,fulfilled_by_merchant,"Londonux Twilight Printed Hard Cases Designer Mobile Back Cover for Xiaomi Redmi 4-4X,Londonux,A-1584-204-xiaomi-redmi-4-4x",Y,700551,-0.3871842864678043
B07PQQLDPW,Nainz ''Pink and Purple Beautiful Floral''Soft TPU Printed Back Case Cover for Samsung Galaxy M10 [Transparent],Nainz.,Nainz,2.15,70,150.0,4.2,fulfilled_by_merchant,"Nainz ''Pink and Purple Beautiful Floral''Soft TPU Printed Back Case Cover for Samsung Galaxy M10 [Transparent],Nainz",Y,1325995,-0.47829725765244896
B081JM2B9F,"Regor Stick On [3-in-1] PU Leather Wallet & Card Holder, Phone Stand with Elastic Strap for All Android & iPhone Smartphones & Mobiles – Black",Regor Direct,Regor,4.19,50,40.8,4.0,fulfilled_by_amazon,"Regor Stick On [3-in-1] PU Leather Wallet & Card Holder, Phone Stand with Elastic Strap for All Android & iPhone Smartphones & Mobiles – Black,Regor,regbkzen",Y,58489,-0.34922054847420225
B07HBRYXGV,Element Case Illusion Drop Tested case for iPhone Xs Max - Orange (EMT-322-191E-05),GadgetStar,Element Case,26.28,0,45.4,4.5,fulfilled_by_merchant,"Element Case Illusion Drop Tested case for iPhone Xs Max - Orange (EMT-322-191E-05),Element Case,EMT-322-191E-05",N,775876,1.0484777386569104
B07VDLV5NM,ANVIKA Love Cat Heart Design Soft Silicon Special's Girls Back Cover for Redmi Note 4 - (Pink),ANVIKA FASHION,ANVIKA,3.47,59,299.0,3.5,fulfilled_by_merchant,"ANVIKA Love Cat Heart Design Soft Silicon Special's Girls Back Cover for Redmi Note 4 - (Pink),ANVIKA,Redmi Note 4",Y,461439,-0.3947770340665246
B081CYVC5X,Luxocase for Redmi Mi A2 Back Case Cover Hard Slim Shock Proof for Xiaomi Redmi Mi A2,Luxocase,LUXOCASE,3.47,78,4.54,3.9,fulfilled_by_merchant,"Luxocase for Redmi Mi A2 Back Case Cover Hard Slim Shock Proof for Xiaomi Redmi Mi A2,LUXOCASE,Redmi Mi A2",Y,282056,-0.3947770340665246
B07FRL4HV9,TheGiftKart Full Body 3 in 1 Slim Fit Complete 3D 360 Degree Protection Hybrid Hard Bumper Back Case Cover for Oppo A3s (All Blue),TheGiftKart,TheGiftKart,5.99,55,18.1,4.0,fulfilled_by_merchant,"TheGiftKart Full Body 3 in 1 Slim Fit Complete 3D 360 Degree Protection Hybrid Hard Bumper Back Case Cover for Oppo A3s (All Blue),TheGiftKart,Oppo A3s",N,205913,-0.23532933449339635
